"model";"metric";"min";"max";"score";"std"
"louv_res10_exec1_filtered";"conductance";0.0;0.08571428571428572;0.0003443941363494782;0.003706773333116673
"louv_res10_exec1_filtered";"triad_ratio";0.0;1.0;0.007823046935481711;0.07367306878509637
"louv_res10_exec1_filtered";"cut_ratio";0.0;1.3630291960853802e-06;4.6840408264004666e-09;5.543364213529783e-08
"louv_res10_exec1_filtered";"erdos_modularity";"";"";0.49812871888288945;""
"louv_res10_exec1_filtered";"flake_odf";0.0;0.016666666666666666;1.4529637474887138e-05;0.00040811580264275176
"louv_res10_exec1_filtered";"fraction_over_median_degree";0.0;0.5;0.08008426354935731;0.1386392865505211
"louv_res1_exec1_filtered";"conductance";0.0;0.42857142857142855;0.01915310133856929;0.06760826228899212
"louv_res1_exec1_filtered";"triad_ratio";0.0;1.0;0.012952749117397426;0.09249675965162511
"louv_res1_exec1_filtered";"cut_ratio";0.0;9.701587756940104e-06;1.7044303645957682e-07;6.095815813224266e-07
"louv_res1_exec1_filtered";"erdos_modularity";"";"";0.7568897484143267;""
"louv_res1_exec1_filtered";"flake_odf";0.0;0.5;0.0027347512680619196;0.02330300594692039
"louv_res1_exec1_filtered";"fraction_over_median_degree";0.0;0.5;0.09537391355988149;0.14876175145492404
"infomap_exec1_filtered";"conductance";0.0;0.3037037037037037;0.0011908135714036202;0.014729257910119784
"infomap_exec1_filtered";"triad_ratio";0.0;1.0;0.006372956162385251;0.06685553967030143
"infomap_exec1_filtered";"cut_ratio";0.0;4.140040400735715e-06;1.678566454297263e-08;2.096201885915246e-07
"infomap_exec1_filtered";"erdos_modularity";"";"";0.5515341431778527;""
"infomap_exec1_filtered";"flake_odf";0.0;0.16470588235294117;0.0005827849691959171;0.007633326445306044
"infomap_exec1_filtered";"fraction_over_median_degree";0.0;0.5;0.07976833812247755;0.1384698843507742
"sbm_nclus2_exec_filtered_accounts";"conductance";0.002725314172334806;0.09959113424683773;0.05115822420958627;0.04843291003725146
"sbm_nclus2_exec_filtered_accounts";"triad_ratio";0.14188606099228634;0.5397835223674362;0.3408347916798613;0.19894873068757493
"sbm_nclus2_exec_filtered_accounts";"cut_ratio";2.599846231736321e-07;6.756256041613635e-06;3.5081203323936336e-06;3.2481357092200013e-06
"sbm_nclus2_exec_filtered_accounts";"erdos_modularity";"";"";0.34959624381516624;""
"sbm_nclus2_exec_filtered_accounts";"flake_odf";0.003958201393286891;0.3881719573558503;0.1960650793745686;0.1921068779812817
"sbm_nclus2_exec_filtered_accounts";"fraction_over_median_degree";0.27864738917433385;0.42627669986758016;0.352462044520957;0.07381465534662315
"louv_res100_exec1_filtered";"conductance";0.0;0.006802721088435374;2.7302767495182404e-06;0.0001362452807261146
"louv_res100_exec1_filtered";"triad_ratio";0.0;1.0;0.005487563809397568;0.06602475161426223
"louv_res100_exec1_filtered";"cut_ratio";0.0;6.78268816516551e-08;2.7750821147449878e-11;1.3586904141459016e-09
"louv_res100_exec1_filtered";"erdos_modularity";"";"";0.06318416819144261;""
"louv_res100_exec1_filtered";"flake_odf";0.0;0.0;0.0;0.0
"louv_res100_exec1_filtered";"fraction_over_median_degree";0.0;0.5;0.07770808917117801;0.1372377724932616
"eigenvector_exec1_filtered";"conductance";0.0;0.0;0.0;0.0
"eigenvector_exec1_filtered";"triad_ratio";0.0;1.0;0.0054756370316263216;0.06605882910398878
"eigenvector_exec1_filtered";"cut_ratio";0.0;0.0;0.0;0.0
"eigenvector_exec1_filtered";"erdos_modularity";"";"";0.06065367268053243;""
"eigenvector_exec1_filtered";"flake_odf";0.0;0.0;0.0;0.0
"eigenvector_exec1_filtered";"fraction_over_median_degree";0.0;0.5;0.07769628562568259;0.13729429651055824
"louv_res10000_exec1_filtered";"conductance";0.0;0.0;0.0;0.0
"louv_res10000_exec1_filtered";"triad_ratio";0.0;1.0;0.0054756370316263216;0.06605882910398878
"louv_res10000_exec1_filtered";"cut_ratio";0.0;0.0;0.0;0.0
"louv_res10000_exec1_filtered";"erdos_modularity";"";"";0.06065367268053243;""
"louv_res10000_exec1_filtered";"flake_odf";0.0;0.0;0.0;0.0
"louv_res10000_exec1_filtered";"fraction_over_median_degree";0.0;0.5;0.07769628562568259;0.13729429651055824
"louv_res1000_exec1_filtered";"conductance";0.0;0.0;0.0;0.0
"louv_res1000_exec1_filtered";"triad_ratio";0.0;1.0;0.0054756370316263216;0.06605882910398878
"louv_res1000_exec1_filtered";"cut_ratio";0.0;0.0;0.0;0.0
"louv_res1000_exec1_filtered";"erdos_modularity";"";"";0.06065367268053243;""
"louv_res1000_exec1_filtered";"flake_odf";0.0;0.0;0.0;0.0
"louv_res1000_exec1_filtered";"fraction_over_median_degree";0.0;0.5;0.07769628562568259;0.13729429651055824
"sbm_nclus3_exec_filtered_accounts";"conductance";0.023874670400744855;0.0967507092768053;0.054581430689120934;0.030835815268263966
"sbm_nclus3_exec_filtered_accounts";"triad_ratio";0.1459065152175585;0.5547083372556403;0.40361116367393696;0.18312763800107607
"sbm_nclus3_exec_filtered_accounts";"cut_ratio";2.1627496602511556e-06;7.228125132870389e-06;4.053483919358723e-06;2.258438984539031e-06
"sbm_nclus3_exec_filtered_accounts";"erdos_modularity";"";"";0.3407424884282568;""
"sbm_nclus3_exec_filtered_accounts";"flake_odf";0.002070978066459569;0.35124099382067125;0.11954871074068883;0.16383660075156253
"sbm_nclus3_exec_filtered_accounts";"fraction_over_median_degree";0.29292838645162944;0.4801364552643821;0.40891151736428893;0.08272116673283685
"louv_res100000_exec1_filtered";"conductance";0.0;0.0;0.0;0.0
"louv_res100000_exec1_filtered";"triad_ratio";0.0;1.0;0.0054756370316263216;0.06605882910398878
"louv_res100000_exec1_filtered";"cut_ratio";0.0;0.0;0.0;0.0
"louv_res100000_exec1_filtered";"erdos_modularity";"";"";0.06065367268053243;""
"louv_res100000_exec1_filtered";"flake_odf";0.0;0.0;0.0;0.0
"louv_res100000_exec1_filtered";"fraction_over_median_degree";0.0;0.5;0.07769628562568259;0.13729429651055824
